Caesarstone;Frosty Carina 5141;3 cm;62.50x64.25;1;;no CM
Zenith;Amethyst;3 cm;63.75x55.50;1;;no CM
MSI;Chakra Beige;2 cm;65.50x66.00;1;;no CM
Caesarstone;Nougath 6600;3 cm;63.38x55.50;1;;no CM
Cosentino;Statuario;3 cm;63.00x48.75;1;;no CM
Zenith;Super White;3 cm;64.00x44.75;1;;
Zenith;Carrara Cassa;2 cm;34.25x12.50x19.00x52.00x53.00;1;;LL
Hanstone;Kindred;3 cm;65.00x50.00;1;;no CM
Cambria;Summerhill;3 cm;52.50x55.25;1;;no CM
Granite;Iceburg;3 cm;63.25x52.50;1;;no CM
Caesarstone;Raven 4120;3 cm;57.75x56.50;1;;no CM
Caesarstone;Cosmo White 5130;3 cm;57.00x53.50;1;;no CM
Silestone;ET Bella;3 cm;62.50x45.50;1;;no CM
Silestone;Pietra;3 cm;62.50x46.25;1;;no CM
Masterpiece;Copacabana;3 cm;57.25x48.00;1;;
MSI;Babylon Grey;3 cm;60.25x45.50;1;;no CM
Hanstone;Awaken;2 cm;97.00x32.50;2;;
Silestone;Noctis Suede;2 cm;129.50x23.75;2;;no CM
Caesarstone;Nougath 6600;2 cm;129.75x25.75;2;;no CM
Cambria;Galloway;3 cm;89.50x30.00;2;;
Zenith;Calacatta Leyla;3 cm;94.25x28.00;2;;missing right bottom corner
New Age;Civita;2 cm;77.00x24.50;5;;
Hanstone;Calacatta Extra;3 cm;130.25x26.00;2;;no CM
Hanstone;Royale Blanc;2 cm;129.00x22.00;2;;no CM
Cosentino;Eternal Noir;3 cm;128.50x24.50;2;;no CM
Cambria;Inverness Frost;3 cm;101.25x24.50;2;;
Silestone;Calacatta Classic;3 cm;129.00x26.00;2;;no CM
Hanstone;Smoke;2 cm;103.25x31.25;3;;
Silestone;Poblenou Suede;2 cm;113.00x34.00;3;;
Granite;Tajmahal;3 cm;133.00x31.25;3;;no CM
Silestone;Pietra;3 cm;129.25x36.50;3;;no CM
Granite;Tajmahal;3 cm;134.00x30.75;3;;defects
Vicostone;Splendix;3 cm;62.25x32.75;4;;no CM
LX Hausys;Calacatta Sol;3 cm;89.00x37.50;3;;
Caesarstone;London Grey 5000;3 cm;131.25x36.00;3;;missing right top corner
Silestone;Ocean Storm;3 cm;129.50x36.50;3;;no CM
Marble;Cacedonia White;2 cm;124.00x33.50;3;;no CM
Silestone;Tigris Sand;3 cm;119.50x28.50;3;;no CM
Hanstone;Kindred;3 cm;103.25x33.25;3;;no CM
Cosentino;Nolita;3 cm;70.25x35.00;4;;
MSI;Soapstone Metro;3 cm;81.75x27.75;4;;
Vicostone;Bettoglio;3 cm;65.00x29.00;4;;
Hanstone;Whistler;2 cm;37.00x30.50x6.25x32.75;4;;L slab
Caesarstone;Symphony Grey 5133;3 cm;80.75x33.00;4;;no CM
MSI;Galant Grey;3 cm;73.50x38.50;4;;
Hanstone;Tranquility;3 cm;47.00x36.00;4;;no CM
Cosentino;Ocean Jasper;3 cm;62.50x38.50;4;;no CM
Masterpiece;Copacabana;3 cm;77.50x29.00;4;;no CM
Hanstone;Soho;3 cm;90.00x26.00;4;;
Vicostone;Misterio;3 cm;63.00x32.50;4;;no CM
Silestone;Lusso;2 cm;72.75x32.00;4;;no CM
Hanstone;Strato;2 cm;68.00x38.00;4;;
Hanstone;Mont;3 cm;59.25x38.00;4;;
LG;Stirling Grey;3 cm;66.50x24.50;4;;
Emerstone;Borghini Silver;3 cm;63.25x25.00;4;;no CM
Cosentino;Ocean Storm;3 cm;62.75x30.50;4;;no CM
Hanstone;Tranquility;2 cm;65.00x31.50;4;;defects
Quorastone;Gioia;3 cm;55.00x36.00;4;;no CM
LG;Tenor;3 cm;65.50x28.50;5;;
Hanstone;Aspen;3 cm;63.00x29.00;5;;
Hanstone;Calacatta Extra;3 cm;59.50x31.00;5;;missing bottom corners
Caesarstone;Frosty Carina 5141;3 cm;62.00x35.75;5;;
Hanstone;Strato;3 cm;59.25x25.50;5;;defects
LX Hausys;Calacatta Sol;3 cm;71.25x25.50;5;;no CM
Emerstone;Borghini Arabescato;3 cm;64.00x29.25;5;;no CM
Caesarstone;Cosmo White 5130;3 cm;68.50x29.50;5;;missing bottom right corner
MSI;Carrara Marmi;3 cm;86.25x26.00;5;;
Quorastone;Silky White;2 cm;73.00x22.75;5;;
Granite;Sky White;3 cm;119.50x24.00;2;;no CM
Hanstone;Campina;2 cm;80.75x41.75;4;;
Hanstone;Calacatta Mont;3 cm;30.00x65.00;5;;
Hanstone;Calacatta Mont;3 cm;63.75x33.50;5;;
Hanstone;Calacatta Extra;3 cm;65.25x33.25;5;;no CM
TCE Stone;???;3 cm;59.25x43.25;5;;no CM
Hanstone;Matternhorn;2 cm;65.00x29.50;5;;
Zenith;Tuscany;3 cm;73.50x37.50;5;;missing top right corner
Zenith;Paragon;3 cm;72.50x38.00;5;;
Cosentino;Noir;3 cm;75.50x436.50;5;;no CM
MSI;Iced White;2 cm;65.25x34.50;5;;
Silestone;Ethernal Glow;2 cm;69.00x39.75;5;;
Caesarstone;Taj Royal 5212;3 cm;89.75x29.50;5;;
Hanstone;Italian Waves;3 cm;88.50x37.00;5;;
MSI;Smoked Pearl;3 cm;75.00x38.00;6;;
Vicostone;Arabescato;3 cm;80.25x38.13;6;;
Caesarstone;Emperadoro 5380;3 cm;42.75x35.50x15.75x50.00;6;;L slab
Hanstone;Rocky Shores;3 cm;97.00x38.25;6;;
Cambria;Swanbridge;3 cm;65.25x44.25;6;;no CM
Caesarstone;Raw Concrete;3 cm;56.50x43.00;6;;
Zenith;Emprodor Brown;3 cm;93.00x36.25;6;;
Zenith;Paragon;2 cm;84.00x37.00;6;;
MSI;Calacatta Venice;3 cm;74.50x36.75;6;;
Cosentino;Ethernal Glow;3 cm;61.75x43.75;6;;no CM
Hanstone;Aura;2 cm;130.75x39.25;3;;no CM
MSI;Calacatta Miraggio Cielo;3 cm;89.50x36.00;6;;
MSI;Soapstone ;3 cm;77.00x40.25;6;;no CM
Zenith;Valdivia;3 cm;80.00x35.00;6;;weird shape
Silestone;Charcoal Soapstone;3 cm;83.00x39.00;6;;weird shape
Marble;White;2 cm;81.25x43.75;6;;
MSI;Calacatta Leon;2 cm;96.00x38.75;6;;
Vicostone;Valley White;2 cm;32.50x64.25x12.50x57.50;7;;left L slab
???;Rock;3 cm;91.50x40.00;6;;no CM
Vicostone;Serra ;3 cm;94.00x32.50;3;;no CM
Caesarstone;Rugged Concrete 4033;2 cm;88.00x37.50;7;;
Zenith;Nordic White;2 cm;54.50x46.75;7;;
Zenith;Mist ;3 cm;64.00x1.25x51.50x35.00;7;;L slab
Hanstone;Leblanc;2 cm;65.25x45.00;7;;no CM
Granite;Madagascar;3 cm;90.50x43.00;7;;
MSI;Calacatta Leon;3 cm;44.50x49.00x78.50;7;;L slab
Quorastone;Downy;3 cm;62.25x48.25;7;;no CM
MSI;Calacatta Botanica;3 cm;88.25x39.25;8;;
Silestone;Eternal Bella;2 cm;44.00x48.75x95.75;8;;L slab
Marble;White;2 cm;108.50x46.50;8;;
Zenith;Cemento;3 cm;104.00x48.00;8;;no CM
Vicostone;Naxos Honed;3 cm;103.00x37.00;8;;missing corner
Granite;Blanco Perla;2 cm;121.00x46.50;8;;
Caesarstone;Black Tempal 5810;3 cm;64.50x54.00;9;;no CM
Caesarstone;Woodlands 6338;3 cm;55.75x54.25x87.00;9;;left L slab
Silestone;Charcoal Soapstone;2 cm;75.00x62.25;1;;
Hanstone;Strato;2 cm;64.50x57.50;9;;no CM
Caesarstone;Arabetto 5171;3 cm;56.50x39.50x82.50;9;;left L slab
Granite;Nero Striatto;3 cm;120.25x39.50;8;;no CM
Vicostone;Vivalorio;3 cm;65.00x33.00;5;;no CM
Caesarstone;Statuario Nuvo;2 cm;55.50x36.00;4;;no CM
Quorastone;Silky White;2 cm;53.75x63.75;1;;no CM
Granite;Shadow Storm;3 cm;107.00x51.00;9;;
Granite;???;3 cm;97.50x51.50;9;;
Granite;General White;2 cm;125.25x50.00;9;;
Granite;Salone;3 cm;48.50x48.75x105.50;9;;left L slab
Hanstone;Fusion;3 cm;64.50x39.00;4;;no CM
Radianz;Statuario Messa;2 cm;52.75x63.25;1;;
